date,closeprice,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60
2007/1/2,67.7,80.02,68.05,75.08,65.04,0.515,0.466,0.049,10,8.82,28.03,14.51,14.91,84.63,77.67,77.57,70.22,1.535,1.181,0.354,29.76,12.09,28.31,86.95,76.16,77.73,74.14,3.248,2.773,0.475,25.89,11.84,24.28,88.04,75.73,86.79,81.42,8.065,7.221,0.844,32.58,7.56,43.78,-0.0243,1.3723,1.7152,1.2805,0.235,0.274,2.71,6.63,13.99,43,65,23.47,19.43,24.58,23.75,26.99,27.36,22.17
2007/1/3,68,80.7,72.27,77.64,66.6,0.579,0.489,0.09,21.88,17.07,30.22,13.47,16.58,83.21,77.2,78.74,70.91,1.552,1.184,0.368,31.06,11.86,28.49,86.18,75.9,78.28,74.44,3.265,2.776,0.489,26.55,11.73,24.38,87.59,75.58,86.92,81.48,8.082,7.224,0.858,32.96,7.52,43.81,-0.0213,1.3773,1.6971,1.2798,0.23,0.274,3.08,6.89,14.42,71,67,23.45,19.42,24.21,23.41,26.92,27.35,21.57
2007/1/4,67.7,78.36,74.3,68.8,63.46,0.608,0.513,0.095,31.25,25.64,29.27,13.04,18.14,82.08,76.82,77.57,70.22,1.544,1.182,0.362,31.06,11.86,28.49,85.58,75.7,77.73,74.14,3.257,2.775,0.482,26.55,11.73,24.38,87.25,75.47,86.79,81.42,8.074,7.223,0.851,32.96,7.52,43.81,-0.0209,1.4732,1.7227,1.2757,0.23,0.272,2.64,6.23,13.83,53,67,23.36,19.26,24.21,23.43,26.92,27.24,20.96
2007/1/5,66.9,69.78,72.79,49.87,55.67,0.583,0.527,0.056,56.25,47.37,27.08,18.94,18.11,79.05,75.81,68.91,66.49,1.513,1.176,0.337,30.42,11.62,28.49,83.98,75.17,73.57,73.94,3.225,2.768,0.457,26.28,11.61,24.38,86.34,75.17,84.94,80.85,8.042,7.216,0.826,32.75,7.47,43.81,-0.021,1.3737,1.6757,1.2692,0.232,0.271,1.43,4.88,12.42,40,52,23.14,19.58,24.34,23.49,26.9,27.1,20.84
2007/1/8,65.8,53.73,66.44,33.86,46.88,0.502,0.522,-0.02,96.67,76.32,25.06,22.51,17.2,75.05,75.56,55.87,60.74,1.489,1.239,0.25,29.43,13.4,29.13,81.79,74.44,67.51,73.07,3.186,2.76,0.426,26.02,11.5,24.38,85.08,74.75,81.91,79.91,8.003,7.209,0.794,32.54,7.42,43.82,-0.0224,1.341,1.6356,1.2689,0.233,0.271,-0.21,3.08,10.52,23,37,23.38,20.07,24.03,23.46,26.88,27.15,21.21
2007/1/9,66,41.03,57.97,38.35,48.52,0.44,0.506,-0.066,90,72.97,23.94,21.5,16.35,75.81,75.81,57.86,61.71,1.494,1.24,0.254,29.43,13.4,29.13,82.19,74.57,68.54,73.64,3.191,2.761,0.43,26.02,11.5,24.38,85.31,74.82,82.44,80.08,8.008,7.21,0.798,32.54,7.42,43.82,-0.0215,1.3027,1.577,1.2718,0.229,0.271,0.13,3.36,10.81,39,36,22.95,20.07,22.96,23.4,26.86,27.13,20.59
2007/1/10,64.2,28.77,48.24,21.73,37.06,0.3,0.465,-0.165,95.12,95.75,21.03,30.41,16.48,68.99,73.54,43.8,53.95,1.425,1.226,0.199,28.15,17.18,28.18,78.6,73.37,60.3,68.75,3.121,2.747,0.374,25.47,11.26,24.38,83.25,74.14,77.86,78.58,7.938,7.196,0.742,32.09,7.32,43.81,-0.0375,1.4128,1.6059,1.2805,0.243,0.272,-2.6,0.51,7.76,20,19,24.68,21.3,23.63,23.73,27.04,27.18,22.75
2007/1/11,65.8,31.95,42.81,47.17,48.96,0.255,0.423,-0.168,51.35,61.7,25.37,26.14,15.41,75.05,75.56,55.87,60.74,1.469,1.235,0.234,28.15,17.18,28.18,81.79,74.44,67.51,73.07,3.163,2.756,0.407,25.47,11.26,24.38,85.08,74.75,81.91,79.91,7.98,7.204,0.776,32.09,7.32,43.81,-0.0332,0.9782,1.4811,1.2564,0.258,0.27,-0.24,2.91,10.43,95,58,23.21,21.73,24.07,23.95,27.08,27,24.08
2007/1/12,69.1,52.21,45.94,71.26,64.4,0.371,0.413,-0.042,7.27,7.27,34.56,21.36,16,84.64,78.75,78.81,71.83,1.593,1.259,0.334,26.38,16.1,28.18,86.81,76.11,80.08,75.49,3.261,2.775,0.486,26.2,11.15,24.5,87.95,75.7,87.39,81.69,8.078,7.224,0.854,32.53,7.27,43.86,-0.0179,1.3374,1.5341,1.272,0.278,0.274,4.36,7.85,15.92,91,86,28.59,24.55,25,24.86,27.54,27.38,30.3
2007/1/15,69.2,64.69,52.19,71.75,64.75,0.488,0.428,0.06,10.35,10.35,34.33,20.28,16.69,87.72,81.74,79.18,72.05,1.707,1.349,0.358,26.48,15.7,27.99,86.45,75.99,80.23,75.58,3.267,2.777,0.49,26.47,11.1,24.54,87.73,75.63,87.43,81.71,8.084,7.225,0.859,32.69,7.25,43.87,-0.0114,1.3596,1.5329,1.2743,0.277,0.273,4.18,7.79,16.02,62,88,28.05,24.33,24.99,24.81,27.53,27.34,29.38
2007/1/16,70.3,75.43,59.94,77.09,68.62,0.616,0.466,0.15,3.08,3.08,35.44,18.85,17.68,89.13,82.21,82.59,74.31,1.745,1.356,0.389,27.76,15.42,28.21,87.21,76.24,81.73,76.54,3.305,2.784,0.521,27.09,11.01,24.63,88.18,75.78,87.87,81.92,8.122,7.232,0.89,33.06,7.21,43.91,-0.0045,1.3523,1.4913,1.2744,0.274,0.274,5.54,9.25,17.79,81,95,28.2,24.53,24.43,24.79,27.54,27.38,29.16
2007/1/17,70.9,83.14,67.67,79.71,70.58,0.733,0.519,0.214,1.59,1.43,34.75,17.16,18.84,89.46,82.32,84.01,75.39,1.768,1.361,0.407,28.64,15.23,28.35,87.4,76.31,82.46,77.03,3.328,2.789,0.539,27.53,10.94,24.7,88.29,75.82,88.09,82.03,8.145,7.237,0.908,33.32,7.19,43.93,-0.0009,1.2884,1.4382,1.2728,0.273,0.273,5.98,9.96,18.71,62,98,27.1,24.56,23.53,24.6,27.53,27.34,28.48
2007/1/18,71.2,86.6,73.98,81.06,71.56,0.855,0.586,0.269,10.64,6.49,36.9,16.46,20.23,88.34,81.95,84.64,75.9,1.785,1.364,0.421,29.85,14.98,28.54,86.73,76.08,82.8,77.27,3.345,2.792,0.553,28.14,10.85,24.78,87.88,75.68,88.2,82.09,8.162,7.24,0.922,33.69,7.15,43.97,0.0036,1.189,1.4202,1.2749,0.262,0.273,5.92,10.17,19.12,48,87,25.46,24.51,23.31,24.34,27.52,27.33,27.65
2007/1/19,69.8,82.84,76.93,58.37,60.98,0.876,0.644,0.232,65.52,24.67,33.74,22.1,20.27,84.35,80.62,81.19,73.33,1.748,1.357,0.391,29.85,14.98,28.54,84.36,75.29,81.08,76.12,3.308,2.785,0.523,28.14,10.85,24.78,86.43,75.2,87.67,81.83,8.125,7.233,0.892,33.69,7.15,43.97,-0.0064,1.313,1.4279,1.2794,0.259,0.274,3.46,7.77,16.7,13,51,26.63,25.02,23.43,24.52,27.59,27.38,27.93
2007/1/22,69,76.87,76.91,48.64,55.75,0.844,0.684,0.16,96.43,35.06,31.51,23.68,19.84,78.72,79.99,69.96,68.68,1.81,1.448,0.362,28.87,14.49,28.87,83.01,74.84,79.93,75.4,3.287,2.781,0.506,28.14,10.85,24.78,85.6,74.92,87.35,81.67,8.104,7.229,0.875,33.69,7.15,43.97,-0.0082,1.3373,1.4266,1.2721,0.263,0.27,2.02,6.36,15.27,26,30,27.14,25.25,23.48,24.57,27.62,27,27.46
2007/1/23,68.8,70.77,74.86,46.23,54.45,0.779,0.703,0.076,82.86,37.66,30.19,26.35,18.91,77.92,79.72,67.62,67.61,1.796,1.445,0.351,28.37,15.72,28.55,82.67,74.73,79.62,75.21,3.282,2.78,0.502,28.14,10.85,24.78,85.39,74.85,87.27,81.63,8.099,7.228,0.871,33.69,7.15,43.97,-0.0116,1.3293,1.4228,1.2718,0.263,0.27,1.45,5.83,14.85,38,13,27.06,25.24,23.39,23.85,27.63,27,26.64
2007/1/24,70.5,72,73.91,64.76,62.66,0.817,0.726,0.091,34.29,17.14,37.51,23.21,19.24,84.75,82,83.51,74.82,1.853,1.456,0.397,27.69,15.34,28.55,85.54,75.69,81.98,76.71,3.326,2.788,0.538,28.14,10.85,24.78,87.15,75.44,87.94,81.96,8.143,7.237,0.906,33.69,7.15,43.97,-0.0129,1.3731,1.4152,1.2786,0.272,0.271,3.61,8.18,17.59,86,30,27.85,25.82,23.19,23.81,27.65,27.09,27.55
2007/1/25,71,74.67,74.16,68.73,64.74,0.858,0.752,0.106,6.67,14.89,36.16,22.38,19.55,86.76,82.67,84.84,75.79,1.867,1.459,0.408,27.69,15.34,28.55,86.39,75.97,82.57,77.11,3.34,2.791,0.549,28.14,10.85,24.78,87.67,75.61,88.13,82.05,8.157,7.239,0.918,33.69,7.15,43.97,-0.0135,1.3728,1.4,1.2842,0.27,0.27,3.99,8.65,18.32,80,48,27.65,25.53,23.07,23.2,27.65,27.07,26.84
2007/1/26,68,56.87,68.4,37.28,47.22,0.717,0.745,-0.028,76.19,78.72,29.59,34.65,18.72,74.71,78.65,59.64,63.64,1.772,1.44,0.332,26.91,17.72,27.97,81.32,74.28,78.28,74.44,3.261,2.775,0.486,28.14,10.85,24.78,84.56,74.57,86.92,81.48,8.078,7.224,0.854,33.69,7.15,43.97,-0.0204,1.5855,1.4988,1.3031,0.31,0.274,-0.54,3.87,13.24,1,20,31.83,27.63,24.49,23.92,28.06,27.42,31.1
2007/1/29,68.6,49.26,62.02,43.72,50.22,0.633,0.723,-0.09,61.9,65.96,30.35,33.34,17.72,70.69,76,63.66,65.33,1.768,1.506,0.262,26.38,17.37,27.44,82.33,74.62,79.3,75.03,3.277,2.779,0.498,28.14,10.85,24.78,85.18,74.78,87.18,81.59,8.093,7.227,0.866,33.69,7.15,43.97,-0.0151,1.4695,1.44,1.2907,0.311,0.273,0.26,4.58,14.17,88,57,31.86,27.64,24.36,23.94,28.01,27.31,30.34
2007/1/30,68,39.93,54.66,38.75,47.24,0.536,0.686,-0.15,76.19,78.72,29.31,32.69,16.84,68.28,75.19,59.64,63.64,1.751,1.502,0.249,26.31,17.33,27.44,81.32,74.28,78.28,74.44,3.261,2.775,0.486,28.14,10.85,24.78,84.56,74.57,86.92,81.48,8.078,7.224,0.854,33.69,7.15,43.97,-0.0126,1.4575,1.4063,1.2962,0.312,0.273,-0.64,3.47,13.1,36,55,31.27,27.53,23.69,23.98,27.96,27.33,29.6
2007/1/31,67.4,36.05,48.46,33.92,44.32,0.411,0.631,-0.22,71.7,74.14,26.14,38.54,17.01,65.87,74.39,53.71,60.67,1.709,1.494,0.215,25.08,19.1,26.94,80.3,73.94,76.69,73.64,3.245,2.772,0.473,28.14,10.85,24.78,83.94,74.37,86.4,81.29,8.062,7.22,0.842,33.69,7.15,43.97,-0.0221,1.6158,1.4083,1.2785,0.306,0.269,-1.48,2.38,12.06,43,31,31.41,27.4,23.78,24.03,27.78,26.91,28.89
2007/2/1,67,30.95,42.62,30.74,42.38,0.303,0.565,-0.262,62.07,79.25,24.77,36.52,17.16,64.26,73.85,50.36,58.84,1.698,1.492,0.206,25.08,19.1,26.94,78.92,75.6,73.57,70.55,3.343,2.886,0.457,27.74,10.7,26.18,83.53,74.23,85.23,80.94,8.051,7.218,0.833,33.69,7.15,43.97,-0.0155,1.6057,1.4027,1.278,0.306,0.268,-2.01,1.6,11.35,36,17,31.43,27.43,23.64,24.04,27.62,26.82,28.11
2007/2/2,67.8,32.58,39.27,43.91,47.49,0.248,0.502,-0.254,34.48,64.15,24.53,34.73,17.16,67.48,74.93,57.52,62.61,1.719,1.496,0.223,25.08,19.1,26.94,80.27,76.05,77.64,73.47,3.366,2.891,0.475,27.67,10.67,26.18,84.35,74.5,86.83,81.44,8.072,7.222,0.85,33.69,7.15,43.97,-0.0109,1.588,1.4043,1.2713,0.309,0.267,-0.91,2.63,12.61,74,70,31.68,27.5,23.67,24.07,27.61,26.68,27.65
2007/2/5,67.8,33.67,37.4,43.91,47.49,0.203,0.442,-0.239,20.83,64.15,24.43,33.16,17.02,62.66,70.84,57.52,62.61,1.669,1.531,0.138,24.52,18.67,25.98,80.27,76.05,77.64,73.47,3.369,2.891,0.478,27.6,10.65,26.18,84.35,74.5,86.83,81.44,8.072,7.222,0.85,33.69,7.15,43.97,-0.0102,1.6396,1.4378,1.2713,0.308,0.267,-1.05,2.45,12.54,50,41,31.38,27.26,23.67,24.06,27.57,26.68,26.79
2007/2/6,68.9,41.31,38.7,60.19,54.36,0.21,0.396,-0.186,0,43.4,26.64,31.28,16.38,67.08,72.31,65.87,65.96,1.707,1.538,0.169,24.34,18.35,26.02,82.13,76.67,79.89,75.27,3.407,2.899,0.508,27.36,10.55,26.18,85.49,74.88,87.31,81.65,8.101,7.228,0.873,33.69,7.15,43.97,-0.01,1.6323,1.4328,1.272,0.31,0.267,0.34,3.88,14.29,74,63,31.16,27.32,23.72,24.15,27.62,26.71,26.74
2007/2/7,68.8,55.16,44.19,58.26,53.65,0.227,0.362,-0.135,22.22,45.28,28.01,29.8,15.43,66.67,72.18,65.24,65.68,1.711,1.539,0.172,25.25,18.13,26.19,81.96,76.61,79.71,75.17,3.411,2.9,0.511,27.19,10.49,26.18,85.39,74.85,87.27,81.63,8.099,7.228,0.871,33.69,7.15,43.97,-0.0102,1.6675,1.4518,1.2723,0.304,0.267,-0.14,3.52,14.04,61,69,31.19,27.1,23.73,24.15,27.61,26.71,25.95
2007/2/8,68.4,60.58,49.65,50.25,50.71,0.218,0.333,-0.115,47.62,28.57,26.08,30.39,14.87,65.07,71.64,62.52,64.51,1.7,1.537,0.163,25.25,18.13,26.19,81.29,76.39,78.93,74.75,3.401,2.898,0.503,27.19,10.49,26.18,84.98,74.71,87.1,81.55,8.088,7.226,0.862,33.69,7.15,43.97,-0.0077,1.5814,1.4534,1.2758,0.305,0.267,-0.91,2.75,13.3,35,68,29.49,27.12,23.76,24.15,27.58,26.72,25.29
2007/2/9,68,60.39,53.23,42.87,47.8,0.186,0.304,-0.118,66.67,40,24.28,30.94,14.67,63.46,71.11,59.33,63.27,1.69,1.535,0.155,25.25,18.13,26.19,80.61,76.16,78.09,74.32,3.39,2.896,0.494,27.19,10.49,26.18,84.56,74.57,86.92,81.48,8.078,7.224,0.854,33.69,7.15,43.97,-0.0057,2.0034,1.4622,1.2737,0.288,0.267,-1.41,2,12.55,22,45,28.55,25.7,23.81,24.09,27.55,26.67,24.61
2007/2/12,67,50.74,52.4,29.39,41.23,0.107,0.265,-0.158,82.76,68.57,22.37,33.75,15.07,55.29,65.84,46.87,57.66,1.591,1.546,0.045,24.31,19.45,25.11,78.92,75.6,73.57,70.55,3.361,2.89,0.471,27.13,10.46,26.18,83.53,74.23,85.23,80.94,8.051,7.218,0.833,33.69,7.15,43.97,-0.0067,1.6252,1.4586,1.2734,0.283,0.267,-2.7,0.38,10.83,30,34,23.02,25.89,24.02,24.19,27.5,26.66,24.56
2007/2/13,65.8,33.83,46.21,19.97,34.84,-0.007,0.211,-0.218,100,100,20.83,35.11,15.82,50.1,64.11,37.43,52.11,1.551,1.538,0.013,23.89,20.83,24.81,76.89,74.92,65.55,67.16,3.32,2.882,0.438,26.89,10.37,26.18,82.28,73.81,81.91,79.91,8.02,7.212,0.808,33.69,7.15,43.97,-0.0077,1.6727,1.4668,1.2753,0.233,0.267,-4.13,-1.5,8.79,10,11,23.68,26.1,24.15,24.23,27.46,26.7,24.88
2007/2/14,67.3,36.44,42.95,46.67,46.38,-0.047,0.159,-0.206,57.14,58.33,20.24,32.36,16.34,56.59,66.27,50.02,59.23,1.59,1.546,0.044,23.89,20.83,24.81,79.43,75.77,75.88,71.45,3.36,2.89,0.47,26.89,10.37,26.18,83.84,74.33,86.1,81.2,8.059,7.22,0.839,33.69,7.15,43.97,-0.0091,1.7392,1.488,1.2784,0.247,0.267,-1.69,0.63,11.2,88,33,24.45,26.5,24.4,24.38,27.58,26.75,25.7
2007/2/26,68.9,53,46.3,63.09,55.68,0.02,0.131,-0.111,8.82,13.89,27.95,29.24,15.33,58.94,63.83,65.49,64.92,1.591,1.555,0.036,26.02,19.84,24,82.13,76.67,79.89,75.27,3.402,2.898,0.504,26.89,10.37,26.18,85.49,74.88,87.31,81.65,8.101,7.228,0.873,33.69,7.15,43.97,-0.0062,1.7918,1.4978,1.2828,0.255,0.268,0.82,2.87,13.76,69,69,25.8,26.36,24.62,24.57,27.54,26.83,26.59
2007/2/27,69.3,62.46,51.69,66.33,57.72,0.097,0.124,-0.027,18.61,18.61,30.85,27.44,14.65,60.67,64.4,67.97,66.1,1.613,1.559,0.054,27.65,19.4,24.29,82.81,76.9,80.6,75.67,3.422,2.902,0.52,26.66,10.28,26.18,85.91,75.02,87.47,81.73,8.112,7.23,0.882,33.69,7.15,43.97,-0.0113,1.8497,1.4951,1.2933,0.254,0.268,1.44,3.32,14.33,66,71,25.85,25.73,24.61,24.58,27.37,26.83,25.9
2007/3/1,66.7,48.62,50.67,38.72,43.33,0.032,0.106,-0.074,79.07,79.07,26.98,34.64,14.49,49.41,60.65,42.82,55.84,1.518,1.54,-0.022,27.25,19.12,24.29,79.95,77.92,62.62,68.85,3.437,3.009,0.428,25.79,9.95,27.48,83.22,74.13,84.38,80.68,8.044,7.217,0.827,33.69,7.15,43.97,-0.0089,1.5848,1.4641,1.2918,0.282,0.27,-2.2,-0.64,9.97,16,48,28.08,27.41,25.79,24.96,27.68,27.04,29.29
2007/3/2,66.8,40.17,47.17,39.92,43.93,-0.036,0.078,-0.114,86.84,76.74,26.03,35.43,14.55,49.85,60.8,43.87,56.38,1.516,1.54,-0.024,26.99,18.93,24.29,80.12,77.97,63.16,69.14,3.434,3.008,0.426,25.66,9.9,27.48,83.32,74.16,84.66,80.77,8.046,7.217,0.829,33.69,7.15,43.97,-0.0043,1.5933,1.4624,1.2949,0.276,0.27,-1.91,-0.54,10.06,43,45,27.89,27.41,25.77,24.92,27.58,27.03,28.39
