股票名稱,日期,券賣,券餘,券增減,券使用率,借券賣出,借券賣出餘額
樂陞,20161116,0,445,-498,1.59,0,0
樂陞,20161115,0,943,-1038,3.36,0,715
樂陞,20161114,0,1981,-363,7.06,0,715
樂陞,20161111,0,2344,-133,8.35,0,715
樂陞,20161110,0,2477,-16,8.83,0,715
樂陞,20161109,0,2493,-11,9.99,0,715
樂陞,20161108,0,2504,-8,10.03,0,715
樂陞,20161107,0,2512,-3,10.06,0,749
樂陞,20161104,0,2515,-4,10.07,0,749
樂陞,20161103,0,2519,-66,10.09,0,749
樂陞,20161102,0,2585,-5,10.35,0,749
樂陞,20161101,0,2590,-2,10.37,0,928
樂陞,20161031,0,2592,-6,10.38,0,928
樂陞,20161028,0,2598,-43,10.41,0,928
樂陞,20161027,0,2641,-13,10.58,0,928
樂陞,20161026,0,2654,-19,10.63,0,928
樂陞,20161025,0,2673,0,10.71,0,930
樂陞,20161024,0,2673,-2,10.71,0,930
樂陞,20161021,0,2675,-30,10.71,0,930
樂陞,20161020,0,2705,-2,10.83,0,930
樂陞,20161019,0,2707,-49,10.84,0,930
樂陞,20161018,0,2756,-179,11.04,0,945
樂陞,20161017,0,2935,-4,11.76,0,971
樂陞,20161014,0,2939,-130,11.77,0,971
樂陞,20161013,0,3069,0,12.29,0,971
樂陞,20161012,0,3069,0,12.3,0,987
樂陞,20161011,0,3069,-107,12.3,0,987
樂陞,20161007,0,3176,-466,12.73,0,999
樂陞,20161006,0,3642,-135,14.6,0,999
樂陞,20161005,0,3777,-732,15.14,0,999
樂陞,20161004,0,4509,-30,18.07,0,999
樂陞,20161003,25,4539,-3,18.19,0,999
樂陞,20160930,594,4542,430,18.21,0,999
樂陞,20160929,171,4112,21,16.48,0,1000
樂陞,20160926,398,4091,-25,16.4,80,1000
樂陞,20160923,188,4116,-115,16.5,0,920
樂陞,20160922,311,4231,276,16.96,100,920
樂陞,20160921,206,3955,-19,15.85,78,839
樂陞,20160920,303,3974,251,15.93,27,761
樂陞,20160919,289,3723,14,14.92,6,734
樂陞,20160914,589,3709,297,14.87,20,728
樂陞,20160913,456,3412,400,13.68,0,708
樂陞,20160912,648,3012,509,12.07,47,708
樂陞,20160910,484,2503,332,10.03,0,675
樂陞,20160909,2171,2171,2171,8.7,40,705
樂陞,20160908,0,0,0,0,43,690
樂陞,20160907,0,0,0,0,0,647
樂陞,20160906,0,0,-1218,0,0,647
樂陞,20160905,0,1218,-4175,4.88,0,657
樂陞,20160902,0,5393,-207,21.62,0,657
樂陞,20160901,0,5600,-455,22.45,0,657
樂陞,20160831,68,6055,-35,24.27,0,657
樂陞,20160830,790,6090,677,24.41,83,657
樂陞,20160829,793,5413,669,21.7,35,574
樂陞,20160826,1290,4744,542,19.02,19,569
樂陞,20160825,227,4202,-3112,16.84,341,550
樂陞,20160824,214,7314,-254,29.32,124,209
樂陞,20160823,0,7568,-129,30.34,0,85
樂陞,20160822,0,7697,-1778,30.85,0,301
樂陞,20160819,0,9475,-441,37.98,0,301
樂陞,20160818,0,9916,-1001,39.75,0,401
樂陞,20160817,0,10917,-442,43.76,90,476
樂陞,20160816,0,11359,-87,45.53,15,510
樂陞,20160815,0,11446,-267,45.88,0,513
樂陞,20160812,139,11713,13,46.95,34,559
樂陞,20160811,124,11700,-502,49.01,45,548
樂陞,20160810,97,12202,-67,51.11,0,683
樂陞,20160809,102,12269,89,51.39,0,688
樂陞,20160808,399,12180,369,51.02,10,788
樂陞,20160805,456,11811,422,49.47,12,778
樂陞,20160804,403,11389,376,47.71,15,766
樂陞,20160803,732,11013,709,46.13,22,751
樂陞,20160802,385,10304,-26,43.16,0,843
樂陞,20160801,691,10330,371,43.27,0,1058
樂陞,20160729,935,9959,873,41.72,3,1058
樂陞,20160728,1197,9086,1081,38.06,8,1055
樂陞,20160727,1522,8005,1451,33.53,3,1172
樂陞,20160726,1492,6554,1387,27.45,7,1196
樂陞,20160725,3055,5167,2798,21.64,295,1287
樂陞,20160722,298,2369,280,9.92,0,992
樂陞,20160721,20,2089,-69,8.75,0,992
樂陞,20160720,84,2158,-46,9.04,0,1028
樂陞,20160719,32,2204,-195,9.23,0,1038
樂陞,20160718,241,2399,-252,10.05,1,1038
樂陞,20160715,164,2651,-6,11.1,1,1037
樂陞,20160714,404,2657,298,11.13,3,1036
樂陞,20160713,190,2359,75,11.13,0,1122
樂陞,20160712,250,2284,68,10.78,0,1262
樂陞,20160711,98,2216,-54,10.46,0,1372
樂陞,20160707,78,2270,24,10.71,0,1388
樂陞,20160706,56,2246,-259,10.6,0,1390
樂陞,20160705,183,2505,-630,11.82,2,1390
樂陞,20160704,320,3135,224,14.8,0,1391
樂陞,20160701,28,2911,-54,13.74,21,1391
樂陞,20160630,129,2965,40,13.99,0,1370
樂陞,20160629,46,2925,-151,13.81,14,1370
樂陞,20160628,36,3076,-72,14.52,101,1356
