"","C.50","C.1101","C.1102","C.1216","C.1301","C.1303","C.1326","C.1402","C.1476","C.2002","C.2105","C.2207","C.2301","C.2303","C.2308","C.2311","C.2317","C.2324","C.2325","C.2330","C.2354","C.2357","C.2382","C.2395","C.2408","C.2409","C.2412","C.2454","C.2474","C.2801","C.2880","C.2881","C.2882","C.2883","C.2884","C.2885","C.2886","C.2887","C.2890","C.2891","C.2892","C.2912","C.3008","C.3045","C.3481","C.4904","C.4938","C.5880","C.6505","C.9904"
"2007-04-24",58.1,30.25,36,34.3,65.1,63,64.5,30.7,21.6,39.85,35.1,80.5,41.8,19.15,104.5,41.7,221,31,62.5,69.8,340,77.8,50.5,100.5,28.6,54,64.6,409,252,19.7,23.7,29.4,69.5,14,19.3,14.8,21.6,16.55,14.85,26.5,23.05,85.7,435,36,97.2,38.25,NA,NA,73.6,35.9
"2007-04-25",57.6,29.65,34.9,34,64.5,62.6,63.8,29.7,21.45,39.25,35,80.5,41.7,19.05,103.5,41.4,218,31.45,61.2,69.3,330,76,50.3,100.5,28.8,54,63.8,409.5,248,19.6,23.3,29.1,68.5,13.85,19.1,14.55,21.5,16.75,14.75,26.7,23,85,428,35.45,95.9,37.75,NA,NA,73,36.5
"2007-04-26",57.7,29.65,34.3,33.45,65,62.5,63.9,30.9,21.35,39,35.95,80.4,41.5,19.05,105,39.55,221,31.35,62.5,69.9,329,76.8,50.4,100,28.5,53.7,63.1,406,250,19.65,23.75,29.2,68.6,13.85,19.2,14.65,21.55,16.7,14.65,26.85,23.05,85.3,398.5,35.3,93.7,37.6,NA,NA,73.4,36.25
"2007-04-27",57.5,30.35,34.7,32.4,63.9,61.8,63.6,31.9,21.2,38.2,34.5,80.4,41.2,19.05,105,38.45,218.5,30.6,63.2,69,330,76.9,49.7,99,28.6,53.2,63.3,406,250,19.65,23.35,29.05,68.3,13.9,19.15,14.4,21.35,16.6,14.65,26.6,23,85.3,373,34.6,95,37.6,NA,NA,73,35.6
"2007-04-30",56.9,29.75,34.8,32.9,63.8,60.8,62,30.45,21.1,37.8,34.5,80,41.35,19.1,104.5,38.5,221.5,30.4,64,68.7,315.5,76.4,48,98.5,28.35,52.7,63.1,418,256,19.6,23.05,29,67.8,14,18.9,14.4,21.25,16.3,14.45,26.25,23,85.6,376.5,34.6,95.6,37.6,NA,NA,71.5,35
"2007-05-02",57.55,29.6,34.3,32.3,63.9,61,62.8,30.9,21,38.6,33.8,80,42.15,19.2,106,37.6,233.5,30.3,64.5,68,324.5,78.7,48.5,99.3,28.45,53.4,62.9,431,273.5,19.4,23,29.25,67,13.7,18.95,14.75,21.05,16.15,14.35,26.8,22.85,85,379,35.15,94.9,38.8,NA,NA,71.5,34.9
"2007-05-03",58.2,30,33.7,31.45,63.6,61.5,62.8,30.25,20.8,38.7,33.3,80,41.4,19.4,113,38.5,240.5,30.25,65.3,68.4,326.5,79,48.5,100,28.05,54,63.3,431.5,280,19.05,23.1,29.25,69.5,13.8,19.1,14.65,21.1,16.25,14.65,26.6,22.6,85.5,405.5,35.9,98.9,39.25,NA,NA,71.4,34.4
"2007-05-04",59.2,30.15,34.45,31.65,64.3,62.5,64.4,32.35,21.4,39.5,34.6,80,41.2,19.6,116,38.3,241,30.35,68,69.1,334,81,49.5,101,28.7,54,63.3,461,278.5,19.4,23.5,29.65,73,14.2,19.2,14.9,21.2,16.5,14.95,26.9,22.9,87.4,419,36.05,98.8,39.65,NA,NA,71.5,35
"2007-05-07",59.55,30.05,34.3,32.3,64.6,63.3,64.9,31.85,21.15,40.05,34.85,79.9,41.3,19.7,114.5,37.85,244,29.8,71.7,68.5,335.5,81.5,48.7,101,28.7,54.9,63,470,283,19.4,23.6,30.1,73,14.15,19.35,15.1,21.2,16.55,14.8,26.9,22.85,87.5,428,36.3,102.5,39.05,NA,NA,71.5,35.55
"2007-05-08",59.3,30.2,34.25,32,65,63.3,65,31.35,21.1,40.15,34,79.8,41,19.65,113,38.2,242.5,29.55,69,68,338,80.8,48.65,101,28.6,54.8,63,473,279,19.3,23.6,30.1,72.1,14,19.2,15.2,21.1,16.35,14.85,26.7,22.6,88.1,436,35.9,105.5,39.05,NA,NA,71.2,35.45
