"","C.AA.us","C.AAPL.us","C.AIG.us","C.AXP.us","C.BA.us","C.C.us","C.CAT.us","C.DD.us","C.DIS.us","C.GE.us","C.GM.us","C.HD.us","C.HON.us","C.HPQ.us","C.IBM.us","C.INTC.us","C.JNJ.us","C.JPM.us","C.KO.us","C.MCD.us","C.MMM.us","C.MO.us","C.MRK.us","C.MSFT.us","C.PFE.us","C.PG.us","C.UTX.us","C.VZ.us","C.WMT.us","C.XOM.us","C.^DJI"
"2007-04-24",33.95,93.24,69.42,60.91,93.67,52.81,72.81,49.86,34.91,34.76,NA,39.31,52.9,41.65,98.49,21.94,64.49,52.16,51.71,48.47,77,69.92,51.6,28.79,26.15,63.73,67.77,37.6,48.69,78.6,12953.9
"2007-04-25",35.76,95.35,69.98,62.32,94.69,53.8,73.23,49.97,35.32,35.41,NA,39.5,53.99,41.87,101.46,22.26,64.68,52.82,51.74,48.63,76.97,70.47,52.39,28.99,26.32,63.53,68.04,37.65,48.81,79.92,13089.9
"2007-04-26",35.81,98.84,69.79,62.14,94.26,53.56,73,49.58,35.17,35.84,NA,38.99,53.69,42.04,100.9,22.09,64.24,52.94,52.08,49.23,80.45,69.33,52.43,29.1,26.72,62.99,67.65,37.97,48.7,80.55,13105.5
"2007-04-27",35.99,99.92,70.14,62.14,94.02,53.37,73.76,49.69,34.98,36.84,NA,38.47,54.89,42.29,101.17,21.87,64.17,52.55,52.06,48.95,81.55,69.6,51.86,30.12,26.61,62.98,67.69,37.89,48.34,80.36,13120.9
"2007-04-30",35.49,99.8,69.91,60.67,93,53.62,72.62,49.17,34.98,36.86,NA,37.87,54.18,42.14,102.21,21.5,64.22,52.1,52.19,48.28,82.77,68.92,51.44,29.94,26.46,64.4,67.13,38.18,47.92,79.38,13062.9
"2007-05-01",34.76,99.47,70.03,61.32,93.23,54.2,73.24,49.36,35.47,37.1,NA,38.43,55.08,42.92,103.17,21.8,64.56,52.26,52.63,49.14,83.61,68.81,50.98,30.4,26.59,62.96,67.73,38.51,48.33,79.66,13136.1
"2007-05-02",34.88,100.39,70.42,62.74,93.83,54.3,73.4,50.54,35.7,37.31,NA,38.75,55.5,42.93,102.22,21.93,64.48,52.55,52.71,50.02,84.42,69.11,51.23,30.61,26.6,62.37,68.4,39.6,48.28,79.82,13211.9
"2007-05-03",35.06,100.4,70.65,63.46,93.85,53.95,73.36,50.88,35.69,37.34,NA,39.06,56,42.83,102.8,21.74,64.32,52.7,52.91,49.91,84.07,69.77,51.55,30.97,26.87,62,67.93,41.07,48.36,80.68,13241.4
"2007-05-04",35.66,100.81,70.85,63.39,93.61,54.09,73.1,51.24,35.85,37.15,NA,38.9,56.12,43.79,102.96,21.9,64.48,52.63,53.21,49.92,84.21,69.36,51.92,30.56,27.08,62.41,68,40.66,48.27,80.55,13264.6
"2007-05-07",38.63,103.92,71.6,63.27,94.56,53.88,72.67,51.63,36.06,37.24,NA,38.84,55.33,43.8,103.16,21.96,64.26,52.73,53.61,49.5,84.93,69.18,52.03,30.71,27.38,62.18,69.05,40.83,48.61,80.83,13313
"2007-05-08",39.5,105.06,71.75,63.27,94.21,53.72,73.43,51.56,36.55,37.08,NA,38.63,55.79,45.01,103.29,22.15,63.7,52.45,53.07,49.32,84.78,68.66,52.24,30.75,27.35,61.75,68.34,40.62,48.1,81.38,13309.1
